plot_ID,mean_5yr,sd_5yr,sum_5yr,n_obs_5yr,mean_10yr,sd_10yr,sum_10yr,n_obs_10yr
2172,743.3332397,50.3771939,3716.666199,5,790.1716759,68.81532807,7901.716759,10
2173,743.3332397,50.3771939,3716.666199,5,790.1716759,68.81532807,7901.716759,10
2174,743.3332397,50.3771939,3716.666199,5,790.1716759,68.81532807,7901.716759,10
2175,743.3332397,50.3771939,3716.666199,5,790.1716759,68.81532807,7901.716759,10
2176,743.3332397,50.3771939,3716.666199,5,790.1716759,68.81532807,7901.716759,10
2177,792.6942841,49.81490493,3963.47142,5,833.2440712,61.78799176,8332.440712,10
2178,743.3332397,50.3771939,3716.666199,5,790.1716759,68.81532807,7901.716759,10
2179,743.3332397,50.3771939,3716.666199,5,790.1716759,68.81532807,7901.716759,10
2180,743.3332397,50.3771939,3716.666199,5,790.1716759,68.81532807,7901.716759,10
2181,1147.474515,89.1883962,5737.372574,5,1205.034119,88.31026848,12050.34119,10
2182,982.9448273,56.5150689,4914.724136,5,1063.135201,97.57962758,10631.35201,10
2183,982.9448273,56.5150689,4914.724136,5,1063.135201,97.57962758,10631.35201,10
2184,1028.759885,54.13885615,5143.799423,5,1079.394043,70.03769164,10793.94043,10
2185,1028.759885,54.13885615,5143.799423,5,1079.394043,70.03769164,10793.94043,10
2186,1028.759885,54.13885615,5143.799423,5,1079.394043,70.03769164,10793.94043,10
2187,1028.759885,54.13885615,5143.799423,5,1079.394043,70.03769164,10793.94043,10
2188,1145.575404,83.6288025,5727.877022,5,1201.013023,93.57287458,12010.13023,10
2189,1145.575404,83.6288025,5727.877022,5,1201.013023,93.57287458,12010.13023,10
2190,1145.575404,83.6288025,5727.877022,5,1201.013023,93.57287458,12010.13023,10
2191,792.6942841,49.81490493,3963.47142,5,833.2440712,61.78799176,8332.440712,10
2192,1028.759885,54.13885615,5143.799423,5,1079.394043,70.03769164,10793.94043,10
2193,792.6942841,49.81490493,3963.47142,5,833.2440712,61.78799176,8332.440712,10
2194,982.9448273,56.5150689,4914.724136,5,1063.135201,97.57962758,10631.35201,10
2195,1147.474515,89.1883962,5737.372574,5,1205.034119,88.31026848,12050.34119,10
2196,1147.474515,89.1883962,5737.372574,5,1205.034119,88.31026848,12050.34119,10
2197,1147.474515,89.1883962,5737.372574,5,1205.034119,88.31026848,12050.34119,10
2198,407.2317627,38.24701418,2036.158813,5,421.6261139,41.86978206,4216.261139,10
2199,407.2317627,38.24701418,2036.158813,5,421.6261139,41.86978206,4216.261139,10
2200,407.2317627,38.24701418,2036.158813,5,421.6261139,41.86978206,4216.261139,10
2201,407.2317627,38.24701418,2036.158813,5,421.6261139,41.86978206,4216.261139,10
2202,407.2317627,38.24701418,2036.158813,5,421.6261139,41.86978206,4216.261139,10
2203,387.2435333,41.72155715,1936.217667,5,391.1332005,40.90343392,3911.332005,10
2204,387.2435333,41.72155715,1936.217667,5,391.1332005,40.90343392,3911.332005,10
2205,387.2435333,41.72155715,1936.217667,5,391.1332005,40.90343392,3911.332005,10
2206,536.4121078,75.48376682,2682.060539,5,566.0751183,72.74609578,5660.751183,10
2207,536.4121078,75.48376682,2682.060539,5,566.0751183,72.74609578,5660.751183,10
2208,536.4121078,75.48376682,2682.060539,5,566.0751183,72.74609578,5660.751183,10
2209,510.7749008,72.01679154,2553.874504,5,554.8622948,79.4366776,5548.622948,10
2210,510.7749008,72.01679154,2553.874504,5,554.8622948,79.4366776,5548.622948,10
2211,510.7749008,72.01679154,2553.874504,5,554.8622948,79.4366776,5548.622948,10
2212,539.5532791,100.6156983,2697.766396,5,566.8735977,86.48182972,5668.735977,10
2213,539.5532791,100.6156983,2697.766396,5,566.8735977,86.48182972,5668.735977,10
2214,539.5532791,100.6156983,2697.766396,5,566.8735977,86.48182972,5668.735977,10
2215,563.1397751,98.88913348,2815.698875,5,591.8391174,91.15867951,5918.391174,10
2216,563.1397751,98.88913348,2815.698875,5,591.8391174,91.15867951,5918.391174,10
2217,563.1397751,98.88913348,2815.698875,5,591.8391174,91.15867951,5918.391174,10
2218,536.4121078,75.48376682,2682.060539,5,566.0751183,72.74609578,5660.751183,10
2219,536.4121078,75.48376682,2682.060539,5,566.0751183,72.74609578,5660.751183,10
2220,536.4121078,75.48376682,2682.060539,5,566.0751183,72.74609578,5660.751183,10
2221,537.5802643,77.70941205,2687.901321,5,554.7624619,68.58722058,5547.624619,10
2222,537.5802643,77.70941205,2687.901321,5,554.7624619,68.58722058,5547.624619,10
2223,537.5802643,77.70941205,2687.901321,5,554.7624619,68.58722058,5547.624619,10
