plot_ID,arcticdem_elev,chelsa_glacial_extent,worldclim_bio_1,worldclim_bio_2,worldclim_bio_3,worldclim_bio_4,worldclim_bio_5,worldclim_bio_6,worldclim_bio_7,worldclim_bio_8,worldclim_bio_9,worldclim_bio_10,worldclim_bio_11,worldclim_bio_12,worldclim_bio_13,worldclim_bio_14,worldclim_bio_15,worldclim_bio_16,worldclim_bio_17,worldclim_bio_18,worldclim_bio_19,nasa_slope,nasa_aspect,nasa_tri,nasa_elev,soilgrids_bdod,soilgrids_cfvo,soilgrids_nitrogen,soilgrids_ocd,soilgrids_phh2o,soilgrids_silt,soilgrids_soc,soilgrids_cec,soilgrids_clay,chr_glim_lith,chr_gum_sed_type,chr_gum_grain_size,chr_gum_mineralogy,chr_gum_age,chr_gum_thickness
90077,NA,Inf,9.629166603,7.591666222,34.98463821,524.3067017,21.79999924,0.100000001,21.69999886,10.36666679,5.583333492,16.13333321,3.399999857,824,88,46,19.54122353,252,164,207,199,0.932615578,180,0.375,-2,0.800000012,9,8.300000191,5.400000095,6.199999809,42,102.3000031,35.7,34.3,su,Op,NA,NA,hu,NA
90078,NA,Inf,9.612500191,7.591666222,34.98463821,524.9550781,21.79999924,0.100000001,21.69999886,7,5.566666603,16.11666679,3.383333206,828,89,47,19.13723564,253,167,207,201,0.466338694,360,0.25,-3,0.899999976,9,8.699999809,5.400000095,6.199999809,44,102.6999969,35.3,31.3,su,Op,NA,NA,hu,NA
90079,NA,Inf,9.629166603,7.591666222,34.98463821,524.3067017,21.79999924,0.100000001,21.69999886,10.36666679,5.583333492,16.13333321,3.399999857,824,88,46,19.54122353,252,164,207,199,0.932615578,1.27E-14,0.375,-3,0.800000012,9,8.300000191,5.400000095,6.199999809,42,102.3000031,35.8,36,su,Op,NA,NA,hu,NA
90080,NA,Inf,9.629166603,7.591666222,34.98463821,524.3067017,21.79999924,0.100000001,21.69999886,7.033333302,5.583333492,16.13333321,3.399999857,827,89,47,19.47254372,254,167,207,200,1.981823206,325.4132385,0.75,-4,0.800000012,8,8.600000381,5.5,6.099999905,43,105.5999985,36.4,36.2,su,Op,NA,NA,hu,NA
90081,NA,Inf,9.595832825,7.574999809,35.06944275,523.9685059,21.70000076,0.100000001,21.60000038,6.983333111,5.566666603,16.08333397,3.366666555,827,89,45,19.63422966,254,166,205,201,1.196625233,141.1990051,0.5,-4,0.899999976,11,8.5,5.5,6.199999809,44,98.69999695,36.6,34.3,su,Op,NA,NA,hu,NA
90082,NA,Inf,9.600000381,7.583333492,35.1080246,524.5907593,21.70000076,0.100000001,21.60000038,6.983333111,5.566666603,16.10000038,3.366666555,826,89,46,19.1131382,253,166,206,201,0.932615578,180,0.375,-5,0.899999976,9,8.5,5.5,6.199999809,44,101.6999969,34.6,34.9,su,Op,NA,NA,hu,NA
90083,NA,Inf,9.625,7.566666603,34.86943054,525.1298218,21.79999924,0.100000001,21.69999886,7.016666412,5.583333492,16.13333321,3.383333206,822,89,45,19.44503975,253,165,203,201,0.749734938,270,0.125,-2,0.899999976,11,8.300000191,5.5,6.300000191,42,93.09999847,38.6,30.6,su,Op,NA,NA,hu,NA
90084,NA,Inf,9.583333015,7.599999905,35.18518448,522.3301392,21.70000076,0.100000001,21.60000038,6.983333111,5.566666603,16.04999924,3.366666555,824,89,46,19.21255875,253,166,204,201,1.98157084,145.4238129,1,1,0.899999976,11,8.399999619,5.400000095,6.199999809,44,100.8000031,35,34.7,su,Op,NA,NA,hu,NA
90085,NA,Inf,9.633333206,7.566666603,35.03086472,524.085022,21.79999924,0.200000003,21.59999847,7.033333302,5.599999905,16.13333321,3.416666508,824,90,45,19.35824585,254,167,203,202,1.674231291,167.0664978,0.625,2,0.899999976,10,7.599999905,5.199999809,6.300000191,38,95.09999847,35.4,28.9,su,Op,NA,NA,hu,NA
90086,NA,Inf,9.587499619,7.624999523,35.13824844,523.7153931,21.79999924,0.100000001,21.69999886,6.983333111,5.549999714,16.08333397,3.366666555,825,89,46,19.18757629,253,167,204,201,0.749910891,90,0.875,-2,0.899999976,11,8.300000191,5.400000095,6.199999809,44,100.4000015,36.6,34.6,su,Op,NA,NA,hu,NA
